         936436 function calls (912881 primitive calls) in 7.135 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2534    0.027    0.000    0.028    0.000 <frozen importlib._bootstrap>:77(acquire)
     1640    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:771(find_spec)
     5781    0.010    0.000    0.011    0.000 <frozen importlib._bootstrap>:834(__enter__)
     5781    0.011    0.000    0.013    0.000 <frozen importlib._bootstrap>:838(__exit__)
      861    0.005    0.000    0.057    0.000 <frozen importlib._bootstrap>:852(_find_spec_legacy)
1640/1632    0.095    0.000    0.802    0.000 <frozen importlib._bootstrap>:861(_find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:908(_sanity_check)
   1747/1    0.047    0.000    7.139    7.139 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
   1747/1    0.024    0.000    7.139    7.139 <frozen importlib._bootstrap>:958(_find_and_load)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:964(_gcd_import)
  6546/39    0.044    0.000    7.125    0.183 <frozen importlib._bootstrap>:989(_handle_fromlist)
      179    0.005    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
     2839    0.016    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
      226    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1102(_legacy_get_spec)
1641/1640    0.055    0.000    0.606    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
     1640    0.015    0.000    0.621    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
      179    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
     1432    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1216(find_loader)
     1421    0.012    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
     2513    0.196    0.000    0.506    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
      179    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
      179    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1310(<setcomp>)
      179    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
     2586    0.072    0.000    0.120    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
     1420    0.010    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
     2513    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:37(_relax_case)
     1293    0.007    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:413(_find_module_shim)
     1293    0.055    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
     1293    0.016    0.000    0.184    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
     2586    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
     1421    0.028    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
    13542    0.055    0.000    0.141    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
    13542    0.073    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     2586    0.014    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
     1293    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:669(create_module)
   1293/2    0.012    0.000    7.136    3.568 <frozen importlib._bootstrap_external>:672(exec_module)
     1293    0.063    0.000    0.490    0.000 <frozen importlib._bootstrap_external>:743(get_code)
     5967    0.022    0.000    0.117    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
     1294    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:800(__init__)
     1293    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
     1293    0.054    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:830(get_data)
     1293    0.006    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
     2161    0.013    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
   127/64    0.001    0.000    1.335    0.021 <frozen importlib._bootstrap_external>:919(create_module)
      127    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
     1981    0.006    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:966(_find_parent_path_names)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:976(_get_parent_path)
        2    0.000    0.000    0.003    0.002 <frozen importlib._bootstrap_external>:980(_recalculate)
      180    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        2    0.000    0.000    0.003    0.002 <frozen importlib._bootstrap_external>:993(__iter__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       19    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 <string>:4(cy_wrap)
        1    0.000    0.000    0.000    0.000 <string>:5(AndersonResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Anderson_ksampResult)
        1    0.000    0.000    0.000    0.000 <string>:5(AnsariResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Archive)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(BartlettResult)
        1    0.000    0.000    0.000    0.000 <string>:5(BinnedStatistic2dResult)
        1    0.000    0.000    0.000    0.000 <string>:5(BinnedStatisticResult)
        1    0.000    0.000    0.000    0.000 <string>:5(BinnedStatisticddResult)
        1    0.000    0.000    0.000    0.000 <string>:5(CacheItemInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(CumfreqResult)
        1    0.000    0.000    0.000    0.000 <string>:5(DescribeResult)
        1    0.000    0.000    0.000    0.000 <string>:5(ExtType)
        1    0.000    0.000    0.000    0.000 <string>:5(F_onewayResult)
        1    0.000    0.000    0.000    0.000 <string>:5(File)
        1    0.000    0.000    0.000    0.000 <string>:5(FlignerResult)
        1    0.000    0.000    0.000    0.000 <string>:5(FrameData)
        1    0.000    0.000    0.000    0.000 <string>:5(FriedmanchisquareResult)
        1    0.000    0.000    0.000    0.000 <string>:5(HistogramResult)
        1    0.000    0.000    0.000    0.000 <string>:5(KendalltauResult)
        1    0.000    0.000    0.000    0.000 <string>:5(KruskalResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Ks_2sampResult)
        1    0.000    0.000    0.000    0.000 <string>:5(KstestResult)
        1    0.000    0.000    0.000    0.000 <string>:5(KurtosistestResult)
        1    0.000    0.000    0.000    0.000 <string>:5(LeveneResult)
        1    0.000    0.000    0.000    0.000 <string>:5(LinregressResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Listener)
        1    0.000    0.000    0.000    0.000 <string>:5(MannwhitneyuResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Mean)
        1    0.000    0.000    0.000    0.000 <string>:5(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:5(ModeResult)
        1    0.000    0.000    0.000    0.000 <string>:5(NormaltestResult)
        1    0.000    0.000    0.000    0.000 <string>:5(PackedSequence)
        1    0.000    0.000    0.000    0.000 <string>:5(Parameter)
        1    0.000    0.000    0.000    0.000 <string>:5(PhraseTableEntry)
        1    0.000    0.000    0.000    0.000 <string>:5(PointbiserialrResult)
        1    0.000    0.000    0.000    0.000 <string>:5(PoolKey)
        1    0.000    0.000    0.000    0.000 <string>:5(Power_divergenceResult)
        1    0.000    0.000    0.000    0.000 <string>:5(RanksumsResult)
        1    0.000    0.000    0.000    0.000 <string>:5(RelfreqResult)
        1    0.000    0.000    0.000    0.000 <string>:5(RemoteFileMetadata)
        1    0.000    0.000    0.000    0.000 <string>:5(RepeatedResults)
        1    0.000    0.000    0.000    0.000 <string>:5(RequestHistory)
        1    0.000    0.000    0.000    0.000 <string>:5(Route)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
        1    0.000    0.000    0.000    0.000 <string>:5(SigmaclipResult)
        1    0.000    0.000    0.000    0.000 <string>:5(SkewtestResult)
        1    0.000    0.000    0.000    0.000 <string>:5(SpearmanrResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Std_dev)
        1    0.000    0.000    0.000    0.000 <string>:5(Ttest_1sampResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Ttest_indResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Ttest_relResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Url)
        1    0.000    0.000    0.000    0.000 <string>:5(Variance)
        1    0.000    0.000    0.000    0.000 <string>:5(WebSocketURI)
        1    0.000    0.000    0.000    0.000 <string>:5(WeightedTauResult)
        1    0.000    0.000    0.000    0.000 <string>:5(WilcoxonResult)
        1    0.000    0.000    0.000    0.000 <string>:5(_CVScoreTuple)
        1    0.000    0.000    0.000    0.000 <string>:5(_LoggingWatcher)
        1    0.000    0.000    0.000    0.000 <string>:5(_MemoryBIO)
        1    0.000    0.000    0.000    0.000 <string>:5(_OpenSSLErrorWithText)
        1    0.000    0.000    0.000    0.000 ElementPath.py:246(_SelectorContext)
        1    0.000    0.000    0.010    0.010 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:104(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1138(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:123(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1248(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1360(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1435(XMLParser)
        1    0.001    0.001    0.015    0.015 ElementTree.py:34(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:494(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:542(ElementTree)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:113(MaxFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:127(ModeFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:145(GaussianBlur)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:159(UnsharpMask)
        1    0.000    0.000    0.001    0.001 ImageFilter.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:184(BLUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:195(CONTOUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:204(DETAIL)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:21(Filter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:213(EDGE_ENHANCE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:222(EDGE_ENHANCE_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:231(EMBOSS)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:240(FIND_EDGES)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:249(SMOOTH)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:25(Kernel)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:258(SMOOTH_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:269(SHARPEN)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:57(BuiltinFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:62(RankFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:85(MedianFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:99(MinFilter)
        1    0.002    0.002    0.004    0.004 SSL.py:1(<module>)
        1    0.000    0.000    0.000    0.000 SSL.py:1351(Connection)
        1    0.000    0.000    0.000    0.000 SSL.py:154(Error)
        1    0.000    0.000    0.000    0.000 SSL.py:164(WantReadError)
        1    0.000    0.000    0.000    0.000 SSL.py:168(WantWriteError)
        1    0.000    0.000    0.000    0.000 SSL.py:172(WantX509LookupError)
        1    0.000    0.000    0.000    0.000 SSL.py:176(ZeroReturnError)
        1    0.000    0.000    0.000    0.000 SSL.py:180(SysCallError)
        1    0.000    0.000    0.000    0.000 SSL.py:184(_CallbackExceptionHelper)
        1    0.000    0.000    0.000    0.000 SSL.py:212(_VerifyHelper)
        1    0.000    0.000    0.000    0.000 SSL.py:250(_NpnAdvertiseHelper)
        1    0.000    0.000    0.000    0.000 SSL.py:291(_NpnSelectHelper)
        1    0.000    0.000    0.000    0.000 SSL.py:340(_ALPNSelectHelper)
        1    0.000    0.000    0.000    0.000 SSL.py:39(_buffer)
        1    0.000    0.000    0.000    0.000 SSL.py:391(_OCSPServerCallbackHelper)
        1    0.000    0.000    0.000    0.000 SSL.py:463(_OCSPClientCallbackHelper)
        3    0.000    0.000    0.000    0.000 SSL.py:550(_make_requires)
       10    0.000    0.000    0.000    0.000 SSL.py:560(_requires_decorator)
        1    0.000    0.000    0.000    0.000 SSL.py:587(Session)
        1    0.000    0.000    0.000    0.000 SSL.py:591(Context)
        6    0.000    0.000    0.000    0.000 SSL.py:605(<genexpr>)
        1    0.000    0.000    0.000    0.000 __about__.py:5(<module>)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
       69    0.003    0.000   17.426    0.253 __init__.py:1(<module>)
        3    0.000    0.000    0.087    0.029 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:100(<listcomp>)
        1    0.000    0.000    0.039    0.039 __init__.py:100(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:101(TensorDescriptor)
        1    0.000    0.000    0.000    0.000 __init__.py:103(set_default_tensor_type)
        1    0.000    0.000    0.234    0.234 __init__.py:106(<module>)
        6    0.000    0.000    0.001    0.000 __init__.py:108(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:109(<listcomp>)
        1    0.000    0.000    0.042    0.042 __init__.py:109(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:109(Encoding)
        1    0.000    0.000    0.000    0.000 __init__.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:110(device)
       26    0.000    0.000    0.000    0.000 __init__.py:1107(__init__)
       83    0.000    0.000    0.000    0.000 __init__.py:1113(append)
       58    0.001    0.000    0.005    0.000 __init__.py:1159(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:12(<listcomp>)
        3    0.000    0.000    0.080    0.027 __init__.py:12(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:12(AsymmetricSignatureContext)
        1    0.000    0.000    0.000    0.000 __init__.py:12(KeyDerivationFunction)
       58    0.002    0.000    0.002    0.000 __init__.py:1210(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:122(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:123(TensorDescriptorArray)
        1    0.000    0.000    0.000    0.000 __init__.py:1230(resource_string)
        1    0.000    0.000    0.000    0.000 __init__.py:1234(_fixupChildren)
        3    0.000    0.000    0.000    0.000 __init__.py:124(__init__)
       58    0.001    0.000    0.001    0.000 __init__.py:1266(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1278(setLevel)
        1    0.000    0.000    0.004    0.004 __init__.py:13(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:13(Loop)
        1    0.000    0.000    0.018    0.018 __init__.py:134(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:136(DoubleTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:136(device_of)
        1    0.000    0.000    0.001    0.001 __init__.py:137(EventType)
        2    0.000    0.000    0.000    0.000 __init__.py:14(<listcomp>)
        2    0.000    0.000    1.029    0.514 __init__.py:14(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:141(FloatTensor)
        4    0.000    0.000    0.000    0.000 __init__.py:1454(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:146(LongTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:1464(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1474(get_resource_string)
        4    0.000    0.000    0.040    0.010 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:151(IntTensor)
        1    0.000    0.000    0.864    0.864 __init__.py:153(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:153(FilterDescriptor)
        1    0.000    0.000    0.000    0.000 __init__.py:1541(_fn)
        1    0.000    0.000    0.000    0.000 __init__.py:156(DoubleStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:156(ShortTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:1560(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1564(_setup_prefix)
        1    0.000    0.000    0.000    0.000 __init__.py:1594(_get)
        1    0.000    0.000    0.005    0.005 __init__.py:16(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:160(FloatStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:161(CharTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:164(HalfStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:167(ByteTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:168(LongStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:1686(CallWrapper)
        1    0.000    0.000    0.038    0.038 __init__.py:169(<module>)
        1    0.001    0.001    2.554    2.554 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1706(XView)
        1    0.000    0.000    0.000    0.000 __init__.py:172(IntStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:1727(YView)
        1    0.000    0.000    0.054    0.054 __init__.py:173(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:174(DropoutDescriptor)
        1    0.000    0.000    0.000    0.000 __init__.py:1748(Wm)
        1    0.000    0.000    0.000    0.000 __init__.py:176(ShortStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:18(Backend)
        1    0.000    0.000    0.000    0.000 __init__.py:180(CharStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:180(Event)
       58    0.000    0.000    0.006    0.000 __init__.py:1811(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:184(ByteStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:188(DoubleTensor)
        2    0.000    0.000    0.051    0.026 __init__.py:19(<module>)
       64    0.000    0.000    0.000    0.000 __init__.py:190(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:193(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:194(<listcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:1955(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:198(FloatTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:1993(Tk)
        6    0.000    0.000    1.796    0.299 __init__.py:2(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:20(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:20(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:208(HalfTensor)
        1    0.000    0.000    0.208    0.208 __init__.py:21(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:2115(Pack)
        1    0.000    0.000    0.000    0.000 __init__.py:2154(Place)
        1    0.000    0.000    0.001    0.001 __init__.py:2171(_handle_ns)
        1    0.000    0.000    0.000    0.000 __init__.py:218(LongTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:218(RNNDescriptor)
       66    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2198(Grid)
        1    0.000    0.000    0.256    0.256 __init__.py:22(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:22(EventLoopPolicy)
        1    0.000    0.000    0.046    0.046 __init__.py:220(<module>)
      2/1    0.000    0.000    0.001    0.001 __init__.py:2230(declare_namespace)
        1    0.000    0.000    0.000    0.000 __init__.py:2245(BaseWidget)
        1    0.000    0.000    0.001    0.001 __init__.py:2275(file_ns_handler)
        1    0.000    0.000    0.049    0.049 __init__.py:228(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:228(IntTensor)
       66    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
      214    0.001    0.000    0.001    0.000 __init__.py:23(find_module)
        1    0.000    0.000    0.001    0.001 __init__.py:2302(normalize_path)
        1    0.000    0.000    0.000    0.000 __init__.py:2307(Widget)
        2    0.000    0.000    0.001    0.000 __init__.py:2307(_normalize_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:2314(Toplevel)
        8    0.000    0.000    0.000    0.000 __init__.py:2315(_is_egg_path)
        1    0.000    0.000    0.000    0.000 __init__.py:2342(Button)
        1    0.000    0.000    0.000    0.000 __init__.py:238(ShortTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:2387(Canvas)
        1    0.000    0.000    0.000    0.000 __init__.py:24(is_available)
       25    0.001    0.000    0.001    0.000 __init__.py:244(_dummy_type)
        1    0.000    0.000    0.000    0.000 __init__.py:245(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:248(CharTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:250(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:259(ByteTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:2628(Checkbutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2657(Entry)
        1    0.000    0.000    0.000    0.000 __init__.py:27(AsymmetricVerificationContext)
        1    0.000    0.000    0.000    0.000 __init__.py:272(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 __init__.py:272(_CudaBase)
        1    0.000    0.000    0.000    0.000 __init__.py:2722(Frame)
        1    0.000    0.000    0.000    0.000 __init__.py:2740(Label)
        1    0.000    0.000    0.000    0.000 __init__.py:2762(Listbox)
        1    0.000    0.000    0.000    0.000 __init__.py:283(DoubleStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:2853(Menu)
        1    0.000    0.000    0.000    0.000 __init__.py:287(FloatStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:288(Variable)
        1    0.000    0.000    0.000    0.000 __init__.py:291(LongStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:293(manager_path)
        1    0.000    0.000    0.000    0.000 __init__.py:295(IntStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:2956(Menubutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2961(Message)
        1    0.000    0.000    0.000    0.000 __init__.py:2966(Radiobutton)
        1    0.000    0.000    0.000    0.000 __init__.py:299(ShortStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:2993(Scale)
        7    0.000    0.000    0.324    0.046 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:30(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:3026(Scrollbar)
        1    0.000    0.000    0.000    0.000 __init__.py:303(CharStorage)
        2    0.000    0.000    0.000    0.000 __init__.py:3042(_always_object)
        2    0.000    0.000    0.000    0.000 __init__.py:3052(_find_adapter)
        1    0.000    0.000    0.000    0.000 __init__.py:307(ByteStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:3070(Text)
        2    0.006    0.003    0.037    0.019 __init__.py:31(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:31(Bunch)
        1    0.000    0.000    0.000    0.000 __init__.py:31(_Seq2VecWrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:311(HalfStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:315(DoubleTensor)
        1    0.000    0.000    0.001    0.001 __init__.py:32(_Seq2SeqWrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:323(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 __init__.py:325(FloatTensor)
        1    0.000    0.000    0.001    0.001 __init__.py:33(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:332(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:335(LongTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:342(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:3427(_setit)
        1    0.000    0.000    0.000    0.000 __init__.py:3438(OptionMenu)
        1    0.000    0.000    0.892    0.892 __init__.py:345(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:345(IntTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:3475(Image)
        3    0.000    0.000    0.000    0.000 __init__.py:35(ascii_lower)
        1    0.000    0.000    0.000    0.000 __init__.py:3532(PhotoImage)
